#GC	Depth
45	92.72
46	95.41
36.8	63.97
43.4	75.1
46.8	102.2
44.6	81.45
45.2	82
42.4	78.19
47.2	96.95
46.2	94.19
45.4	87.01
43.8	83.55
33.8	64.6
37.6	57.02
34	55.27
34	63.18
33.4	56.72
36.4	50.47
36.2	64.34
46.8	111.17
47.8	103.94
48.8	90.5
47.2	77.56
47.2	94.45
47	92.62
49.4	106.17
45.4	69.65
47	76.66
44	75.79
42.4	68.33
42.8	88.67
44.4	81.06
43.8	90.96
46.2	87.87
47	100.63
45.8	93.17
45.4	92.84
46.2	91.9
47.4	79.17
43.2	86.66
44.4	77.66
46.4	89.48
47	99.07
47	98.17
46.4	84.89
40.2	70.53
45.2	86.76
45.6	92.22
45.6	77.77
44.2	99.69
44.6	77.91
42.2	69.99
38.8	65.69
45.8	75.58
44.2	89.57
48	111.35
48.6	99.39
41.8	75.78
41.6	83.14
43.8	81.02
45	73.43
47	101.96
44	101.64
48.4	87.61
45.2	94.22
47.4	88.66
37.6	76.4
46.4	91.45
43.4	91.23
46.2	95.49
40	76.91
49.2	87.77
48.6	94.85
45.2	89.51
49	90.16
48.2	79.68
43	79.39
41.6	70.06
40.4	78.23
46.6	90.42
53	98.81
50.2	96.01
47.4	98.1
52.6	97.78
49.8	102.28
42.8	86.08
44	82.79
48.8	88.63
45.8	87.63
52.2	89.04
50.6	92.04
40	87.86
45.4	94.96
47.8	111.51
46.8	100.95
47	100.18
48.4	95.05
48.8	112.06
47.2	99.34
50.4	93.25
53.4	106.71
48.8	99.24
51	96
51.6	103.46
46.2	75.62
42.6	92.71
50.2	92.99
46.6	78.05
46.8	80.76
43	87.75
47.8	88.75
49.8	97.14
50.2	104.17
47.6	98.93
44.8	93.9
46	93.05
46.4	84.56
51.4	77.71
49.8	85.76
43.8	71.29
47	72
44	81.19
43	79.26
45.4	93.09
42.8	75.94
46.8	77.8
48.8	72.44
43.4	73.18
49.2	83.14
43.2	70.18
44.2	88.78
44.8	69.3
48	81.06
39.6	94.39
43.8	76.31
46.2	88.91
36	75.34
45.8	95.86
47.6	107.95
48.4	108.7
47.6	80.87
46.8	78.63
40.4	83.77
50.2	94.15
36.2	67.61
38.6	71.91
35	76.67
43.2	85.27
45.4	90.78
47.4	74.14
42.6	72.7
45.8	77.16
40.8	67.12
47.2	77.94
47.2	97.82
45.4	81.91
48	101.93
45.8	87.68
44.8	86.55
42.8	72.31
40.4	76.67
45	86.5
46.8	93.89
32.2	56.96
31.6	47.84
40.4	57.86
42.6	86.84
46.4	79.97
42.4	84.4
45.2	73.88
43.6	99.12
44	76.87
41.6	65.42
39.4	69.48
35.2	59.77
33.2	64.01
47.6	95.92
41.8	72.78
48	69.96
44.6	80.64
38.6	73.39
35.4	52.04
45.4	83.55
41.2	83.09
45.6	82.88
41.2	88.62
44.2	81.87
47.4	90.06
38.2	71.76
44.2	72.64
45.4	82.99
44.2	88.88
42.6	88.19
42.8	87.06
42.6	95.85
38	74.33
42	89.15
41	79.48
41.8	89.79
41.8	88.53
41	76.44
44.4	79.21
49.8	96.43
46.4	73.95
48.8	90.49
43	81.93
44.8	83.92
44.4	81.94
45.2	88.82
41.4	65.74
43	98.57
44.4	102.32
42.4	96.21
48.4	90.71
48.6	95.34
46.8	90.16
50	90.42
41.2	59.89
32.6	43.14
44	82.28
46.8	92.69
48	89.11
45.2	90.6
46.4	98.73
45.8	90.75
48.4	81.49
43.6	71.67
46.2	90.5
45.2	63.47
44	73.75
44.8	76.94
45.2	80.92
46	92.5
43	88.33
43.4	84.83
34.2	59.95
41.2	71.65
42	71.71
46.6	84.98
52.2	104.75
47	88.69
44.2	94.62
46.6	98.4
45.8	92.13
44.2	82.39
44.6	80.11
44	70.09
41.4	85.32
45	97.05
45.2	79.58
44	84.95
43.4	66.63
40.8	78.14
46.2	98.33
47	98.39
42	72.01
33.4	73.2
43.4	75.36
43.4	82.17
41.2	84.62
41.8	83.01
42.2	77.92
45.2	70.51
47	85.48
44.6	85.92
39.4	73.41
43	97.03
44.6	103.58
45	89.36
42.8	72.33
40.2	83.15
42.6	77.08
43.8	81.11
43.2	79.88
45.2	72.95
42.6	75.96
42.6	77.08
40	84.13
45.2	79.41
48.6	85.61
48	86.13
45.8	85.41
45.8	89.18
44	75.51
43.8	73.94
49.2	104.3
39.8	89.58
42	79.61
41	71.29
36.4	79.6
42	85.26
43.2	66.38
40	64.47
43.6	85.1
41	84.25
46.4	81.52
51.6	81.88
44.6	97.93
44.8	97.09
46.4	66.25
41.6	89.95
33.4	43.64
30	54.79
46.4	81.53
51.2	95.07
48.8	117.35
44.4	80.09
42.4	75.75
44.6	72.26
45.4	86.8
44.6	86.27
43.6	65.56
48	82.48
42	87.96
45.4	86.67
47.8	86.49
50	85.66
47	91.39
46	84.1
44	91.2
43	73.73
41.6	61.18
44.6	68.47
47.2	84.12
41.4	100.49
45	70.23
37.2	58.84
38	69.47
38.2	60.98
43.2	66.29
45	69.13
40.4	66.5
42.6	73.09
41.8	66.37
45.4	79.41
47.2	95.64
47.2	102.7
48	104.17
49.6	98.1
48.4	93.03
49.2	96.63
48.4	79.2
42.8	76.18
49.2	100.73
44.4	81.02
39.8	73.39
41	83.98
44.8	80.74
44.4	83.79
45.8	99.24
33.4	63.77
42.8	79.48
46	73.78
40.8	61.84
47.8	73.88
42.6	72.77
37.4	61.58
46.6	93.08
47.6	86.09
42.6	72.77
48.2	101.84
48.6	103.6
50.6	109.06
48.6	89.33
46.6	87.4
43.8	81
36.6	92.09
49.2	111.18
47.8	95.55
43.2	91.48
44.6	89.66
41.4	79.59
49.6	89.83
46	89.27
49.4	91.78
47	108.15
41.6	66.54
48.4	81.69
46.6	80.94
47.6	80.36
43.6	80.47
44.4	91.97
47.8	93.79
46.2	91.77
44.2	80.78
44.6	83.84
48.8	97.62
49.4	74.42
40.4	68.23
43	72.66
46.4	99.44
44.6	85.13
45.4	90.23
37.8	65.26
48	84.23
42.4	81.15
43.8	67.14
43.6	77.64
48	92.07
43.8	76.45
39.4	57.76
46.4	75.7
45.6	86.53
38.2	68.84
48.8	100.2
48	98.49
49.4	99.96
49.6	91.74
38.4	66.89
45	80.17
48	88.44
51.4	116.06
50	81.14
48.8	80.73
47.4	81.92
45	83.41
48	86.8
39.2	75.97
44.2	85.5
32.8	53.85
36.6	53.7
41.8	69.56
42.8	94.23
44.2	86.08
39	71.19
42.6	77.26
41.6	79.48
41.4	74.05
45.2	73.08
39.4	85.23
41.8	90.63
41.8	88.75
42	76.85
42.8	77.42
43.6	71.34
45.8	74.36
52.2	101.85
53	110.93
51.6	97.05
54	113.83
52.2	105.27
52	102.94
39.4	78.65
37.2	58.06
43	73.53
43.2	71.92
43.8	77.23
45.6	79.94
43.6	73.48
42.8	83.89
47.4	84.6
41.6	77.31
48	74.98
40	64.91
48.2	81.77
41.4	75.26
44.2	72.21
43	74.9
40.8	77.42
44.4	70.57
48.4	92.15
44	73.66
48.2	109.79
47.8	103.46
48.6	90.88
49.8	104.58
49.4	90.23
42.8	75.22
26.6	57.42
45.8	104.72
43.2	93.35
48	114.44
50.4	94.46
42.4	96.1
43.8	87.79
43.6	86.8
45.4	91.69
45.8	81.45
46.4	99.47
48	71.18
43.8	85.09
44	81.04
34	62.71
45	90.06
41.8	79.14
41.2	78.33
45	98.51
53	88.93
46.4	90.89
44.8	94.01
45.2	83.64
47.4	105.06
45.8	90.73
47.6	78.3
44.8	88.08
46	92.18
46	76.31
46	107.74
44.6	81.27
45.2	83.7
40	63.63
41.2	77.62
46.2	74.52
42.6	81.58
41.4	87.92
41.4	79.47
41	73.5
36.6	58.43
38.8	71.96
43.8	96.26
33.4	54.8
36	46.58
43.4	72.18
43.4	82.97
46.4	85.88
42.4	73.82
42.8	81.73
42.4	89.21
46.4	101.02
49.2	114.53
42.4	78.96
44.4	79.75
50	85.47
43	91.23
38.4	75.91
36.4	61.65
38.6	58.84
35.8	55.29
39.6	59.93
40.6	60.02
45.8	76.6
41.2	88.6
45	65.67
45	73.54
42.8	71.23
41	91.3
46.2	89.28
38.6	65.37
45.2	72.7
41	67.96
42.6	66.29
44.8	77.92
43.8	93.74
45.2	78.79
44.6	86.4
44	91.22
44.8	80.6
45	68.09
45.8	76.05
39.8	79.33
45	95.59
44.8	87.22
38.6	70.08
35	67.1
45.8	83.84
44.2	81.09
41.6	67.68
43.2	86.81
41.4	78.22
42.8	68.58
47.4	79.29
45.2	94.35
44	82.76
43.6	77.61
49.8	83.89
44.6	106.01
48.6	104.67
40.6	76.2
45.4	81.48
46	87.03
43.4	68.71
41	80.92
46.2	96.75
45.6	87.96
47.8	99.21
48.2	102.38
46.2	104.12
46.8	88.18
45	87.38
47	78.96
44.8	83.38
47.8	82.95
46.6	82.62
46.4	82.73
45.8	70.07
47.6	73.49
45.8	85.39
44	81.48
44.2	60.78
43.2	81.04
48.2	89.12
45.6	93.74
48	88.01
51	83.38
47	83.24
47.8	92.77
42.8	58.25
50.8	85.51
42.6	81.69
38.2	68.69
33.8	60.78
46.8	87.22
47.2	91.85
45.4	86.35
47.4	92.42
48.6	87.14
44.4	75.44
50.6	87.8
44.8	83.36
49	73.62
41.4	64.73
43	83.08
47.6	93.23
43	91.7
47.6	96.47
48.2	82.24
46.4	97.27
46.8	104.37
50.2	80.92
50.2	82.22
50.6	82.91
46.8	90.71
52	99.89
49.2	82.16
51.4	86.93
47.2	84.88
51.6	78.93
46.2	89.12
38.8	87.04
49.8	84.32
50.2	98.99
47.2	101.86
48.6	101.5
50.4	100.71
49	88.43
51.4	87.91
48.8	92.93
49.8	86.93
47.2	94.49
47.8	96.99
44.6	84.73
50.2	99.08
48.2	88.69
46.6	91.64
36.4	65.28
44	85.93
44	79.26
44	66.53
40.6	81.3
36.2	64.05
41.4	59.41
43.6	79.12
49.2	90.04
48.8	83.27
43.6	80.41
49.8	83.53
44	91.98
49	88.17
45	89.11
45.2	83.52
41.8	70.08
48.6	90.77
46.4	81.15
42.8	82.38
42.2	68.87
42.4	85.48
36.6	68.08
43	81.51
45	78.64
50	85.16
46.4	94.46
44	100.84
39.4	68.91
42.6	85.85
41.8	86.98
39.8	77.52
41	81.55
45.6	83.13
46.8	105.13
44.8	96.11
42.4	78.81
47.4	78.9
48	82.45
37.8	74.2
41.8	81.47
42.4	90.18
44.4	78.01
45	65.97
41.2	80.84
41.2	68.92
40.2	70.91
45.2	68.09
41	69.51
42.2	66.99
43.2	76.63
41.2	72.5
28.8	54.67
32.4	35.13
40.8	64.07
42	88.3
43.2	75.33
42	79.52
42.2	93.58
41.6	71.19
39.8	70.01
47.6	80.46
44.6	85.23
44.8	86.4
43.2	78.55
50	98.5
46.6	100.57
48.4	103.04
44	84.9
47.8	89.11
49.2	89.38
46.4	88.32
46.6	83.47
35.2	61.66
41	63.89
48.4	104.61
47.4	85.41
41.4	79.2
39.6	77.54
43.6	66.08
42.2	61.85
44.8	69.06
43.6	80.18
40.2	71.14
42.4	77.35
41.2	80.29
42.6	85.65
41.6	72.16
43.8	59.95
42	76.84
44.6	79.76
43.8	78.04
42.2	71.9
44.6	68.74
37.4	54.12
33.2	58.42
41	71.09
48	90.11
44.2	94.73
49	108.74
48.4	93.99
44.8	96.66
49.2	97.97
49.4	79.32
50.4	118.1
49.8	94.61
49.8	113.54
50.4	95.22
50.2	99.18
51.2	96.74
48	101.29
49	102.97
50.8	105.29
47.8	94.42
47	101.34
46	90.49
45.2	99.93
46.6	91.59
48	97.24
47.2	97.71
44.2	93.28
44.8	80.63
46	73.01
46	92.7
45.8	90.35
44.6	90.59
42	76
44.4	74.56
48	90.73
46.8	100.48
50.4	93.82
48.6	86.02
48.6	97.64
40.2	66.22
41.2	68.74
40.8	67.89
45.2	91.68
41.6	76.18
44.2	86.7
43.6	78.55
36.8	69.6
47.4	93
44.6	88.92
44.6	97.36
44.6	79.43
44.4	80.27
47.4	78.89
44.6	72.58
44.2	75.81
42	77.94
49	96.38
45.2	85.83
47.8	77.88
43.6	72.27
41.4	68.77
44.2	74.78
43	79.64
44	74.16
48.8	85.82
39.4	74.71
38	67.64
46.8	70.04
45.2	84.76
41.4	78.32
44.2	71.4
36.6	55.24
45.4	78.2
46	89.3
44.6	92.42
45.2	83.16
47.2	77.85
45.6	82.27
43.6	78.3
